name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Tambakwatu,23795,Valid,L6,10500,Fell,1975,-7.750000,112.766670,"(-7.75, 112.76667)"
Tamdakht,48691,Valid,H5,100000,Fell,2008,31.163330,-7.015000,"(31.16333, -7.015)"
Tané,23801,Valid,L5,905,Fell,1918,35.433330,136.233330,"(35.43333, 136.23333)"
Taonan,23873,Valid,L5,3850,Fell,1965,45.400000,122.900000,"(45.4, 122.9)"
Tatahouine,23884,Valid,Diogenite,12000,Fell,1931,32.950000,10.416670,"(32.95, 10.41667)"
Tathlith,23885,Valid,L6,2500,Fell,1967,19.383330,43.733330,"(19.38333, 43.73333)"
Tauk,23887,Valid,L6,6000,Fell,1929,35.133330,44.450000,"(35.13333, 44.45)"
Tauti,23888,Valid,L6,21000,Fell,1937,46.716670,23.500000,"(46.71667, 23.5)"
Tenham,23897,Valid,L6,160000,Fell,1879,-25.733330,142.950000,"(-25.73333, 142.95)"
Tennasilm,23898,Valid,L4,28500,Fell,1872,58.033330,26.950000,"(58.03333, 26.95)"
Thal,23908,Valid,H6,342,Fell,1950,33.400000,70.600000,"(33.4, 70.6)"
Thika,54493,Valid,L6,14200,Fell,2011,-1.002780,37.150280,"(-1.00278, 37.15028)"
Thuathe,23976,Valid,H4/5,45300,Fell,2002,-29.333330,27.583330,"(-29.33333, 27.58333)"
Tianzhang,23984,Valid,H5,2232,Fell,1986,32.946670,118.990000,"(32.94667, 118.99)"
Tieschitz,23989,Valid,H/L3.6,28000,Fell,1878,49.600000,17.116670,"(49.6, 17.11667)"
Tilden,23998,Valid,L6,74800,Fell,1927,38.200000,-89.683330,"(38.2, -89.68333)"
Tillaberi,23999,Valid,L6,3000,Fell,1970,14.250000,1.533330,"(14.25, 1.53333)"
Timochin,24004,Valid,H5,65500,Fell,1807,54.500000,35.200000,"(54.5, 35.2)"
Tirupati,24009,Valid,H6,230,Fell,1934,13.633330,79.416670,"(13.63333, 79.41667)"
Tissint,54823,Valid,Martian (shergottite),7000,Fell,2011,29.481950,-7.611230,"(29.48195, -7.61123)"
Tjabe,24011,Valid,H6,20000,Fell,1869,-7.083330,111.533330,"(-7.08333, 111.53333)"
Tjerebon,24012,Valid,L5,16500,Fell,1922,-6.666670,106.583330,"(-6.66667, 106.58333)"
Tomakovka,24019,Valid,LL6,600,Fell,1905,47.850000,34.766670,"(47.85, 34.76667)"
Tomatlan,24020,Valid,H6,900,Fell,1879,20.166670,-105.216670,"(20.16667, -105.21667)"
Tomita,24023,Valid,L,600,Fell,1916,34.500000,133.750000,"(34.5, 133.75)"
Tomiya,24024,Valid,H4/5,27.5,Fell,1984,38.366670,140.865560,"(38.36667, 140.86556)"
Tonk,24026,Valid,CI1,7.7,Fell,1911,24.650000,76.866670,"(24.65, 76.86667)"
Torino,24029,Valid,H6,977,Fell,1988,45.066670,7.666670,"(45.06667, 7.66667)"
Torrington,24032,Valid,H6,259.10000000000002,Fell,1944,42.066670,-104.166670,"(42.06667, -104.16667)"
Toulouse,24036,Valid,H6,1030,Fell,1812,43.600000,1.400000,"(43.6, 1.4)"
Tounkin,24037,Valid,OC,2000,Fell,1824,51.733330,102.533330,"(51.73333, 102.53333)"
Tourinnes-la-Grosse,24038,Valid,L6,14500,Fell,1863,50.783330,4.766670,"(50.78333, 4.76667)"
Trebbin,24042,Valid,LL6,1250,Fell,1988,52.216670,13.166670,"(52.21667, 13.16667)"
Trenzano,24046,Valid,H3/4,11800,Fell,1856,45.466670,10.000000,"(45.46667, 10.0)"
Treysa,24050,Valid,"Iron, IIIAB-an",63000,Fell,1916,50.916670,9.183330,"(50.91667, 9.18333)"
Tromøy,24053,Valid,H,357.4,Fell,1950,58.473330,8.866670,"(58.47333, 8.86667)"
Troup,24054,Valid,L6,1020,Fell,1917,32.166670,-95.100000,"(32.16667, -95.1)"
Trysil,24057,Valid,L/LL6,640,Fell,1927,61.300000,12.300000,"(61.3, 12.3)"
Tsukuba,24059,Valid,H5-6,800,Fell,1996,36.063330,140.145000,"(36.06333, 140.145)"
Tuan Tuc,24060,Valid,L6,13100,Fell,1921,9.666670,105.666670,"(9.66667, 105.66667)"
Tugalin-Bulen,24062,Valid,H6,10000,Fell,1967,45.466670,105.383330,"(45.46667, 105.38333)"
Turtle Lake,47343,Valid,L5,89.3,Fell,1996,45.345830,-92.051670,"(45.34583, -92.05167)"
Tuxtuac,24086,Valid,LL5,30000,Fell,1975,21.666670,-103.366670,"(21.66667, -103.36667)"
Tysnes Island,24094,Valid,H4,19860,Fell,1884,60.000000,5.616670,"(60.0, 5.61667)"
Tyumen,24095,Valid,Iron,750,Fell,1903,57.166670,65.533330,"(57.16667, 65.53333)"
Uberaba,24096,Valid,H5,40000,Fell,1903,-19.816670,-48.783330,"(-19.81667, -48.78333)"
Ucera,24097,Valid,H5,4590,Fell,1970,11.050000,-69.850000,"(11.05, -69.85)"
Uchkuduk,24098,Valid,L6,1000,Fell,1989,41.766670,62.516670,"(41.76667, 62.51667)"
Udei Station,24101,Valid,"Iron, IAB-ung",103000,Fell,1927,7.950000,8.083330,"(7.95, 8.08333)"
Uden,24103,Valid,LL7,710,Fell,1840,51.650000,5.616670,"(51.65, 5.61667)"
